date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/11/2022,98,broken moon,ranked,187,G4,-33,no,no,15,2,0,0,Crypto,Pathfinder,Maggie,188,194,63,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,,
11/11/2022,99,broken moon,ranked,100,G4,-33,no,yes,14,2,0,0,Loba,Crypto,Caustic,343,446,208,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
11/11/2022,100,broken moon,ranked,66,G4,-34,no,no,19,2,0,0,Crypto,Revenant,Loba,146,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/11/2022,101,broken moon,ranked,866,G4,46,no,yes,7,2,0,0,Crypto,Catalyst,Wattson,1219,822,1181,4,0,1,1,3,4,5,1,3,3,1,0,0,0,0,,
11/11/2022,102,broken moon,ranked,1152,G4,NA,no,yes,2,2,1,0,Crypto,Fuse,Valkyrie,479,663,372,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,,
11/11/2022,103,broken moon,ranked,NA,G4,-24,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/11/2022,104,broken moon,ranked,524,G4,-4,no,yes,10,2,0,0,Crypto,Catalyst,Vantage,361,318,342,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,,
11/11/2022,105,broken moon,ranked,459,G4,40,no,no,8,2,0,0,Crypto,Fuse,Catalyst,167,731,751,0,2,4,3,1,1,0,2,4,1,0,0,0,0,0,,
11/11/2022,106,broken moon,ranked,292,G3,-32,no,no,11,2,0,0,Ashe,Wraith,Lifeline,75,223,139,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,,
11/11/2022,107,broken moon,ranked,1190,G4,NA,no,no,3,2,0,2,Vantage,Newcastle,Loba,1076,199,226,4,0,2,0,2,0,4,0,2,2,2,0,0,0,0,,
